Unnamed: 0,ID,Prix,Condition,RAM,Stockage,Marque,Couleur,Taille écran,Résolution
534.0,v1|267078528297|0,79.0,Occasion,1 Go,80 Go,IBM,Noir,"14""",1024 x 768
536.0,v1|126802586434|0,1297.52,Occasion,16 GB,512 Go,Apple,Argent,35.6cm,3024 x 1964
538.0,v1|186694480701|0,200.0,Occasion,4 Go,160 Go,Panasonic,Noir,12.1,nn
541.0,v1|356336905509|0,1390.0,Occasion,16 Go,500 Go,Dell,Gris,"15,6""",1920 x 1080
542.0,v1|364874180739|0,230.0,Occasion,8 Go,8 Go,Dell,Noir,"15,6""",1920 x 1080
543.0,v1|196870415480|0,199.0,État correct - Reconditionné,8GO,240 Go,Lenovo,Noir,"12""5",1366 x 768
544.0,v1|285688650227|0,349.9,Occasion,16 Go,256 Go,Lenovo,Noir,"15""",1920 x 1080
545.0,v1|267004136668|0,199.99,Parfait état - Reconditionné,8 Go,256 Go,Dell,Noir,"14""",1920 x 1080
546.0,v1|365107321134|0,250.0,Occasion,8 Go,256 Go,HP,Argenté,"15""",1366 x 768
547.0,v1|156405694186|0,193.7,Occasion,4 Go,256 Go,HP,Grey,"14""",1366 x 768
548.0,v1|116419427006|0,175.0,Occasion,16 Go,256 Go,Dell,Noir,"13,3""",1920 x 1080
549.0,v1|387459255508|0,62.4,Occasion,DDR3 SDRAM SO-DIMM,256 Go,Dell,Noir,"14 Zoll (35,6 cm)",1920 x 1080
550.0,v1|316045750727|0,1600.0,Occasion,16 Go,1 To,Alienware,Blanc,"15,6""",1920 x 1080
551.0,v1|196876944909|0,189.0,Très bon état - Reconditionné,8Go,256Go SSD,Lenovo,Noir,"14""",titre
552.0,v1|196736353886|0,180.0,Occasion,8 Go,256 Go,HP,Noir,"15""",1920 x 1080
553.0,v1|235846030813|0,120.0,Occasion,4 Go,128 Go,ASUS,Bleu,"11,6""",1366 x 768
555.0,v1|365107092113|0,189.0,Occasion,4 Go,240 Go,HP,Noir,"13,3""",1366 x 768
556.0,v1|285834160829|0,279.9,Occasion,8 Go,256 Go,Lenovo,Noir,"14""",2560 x 1440
557.0,v1|196795984339|0,300.0,Occasion,16 Go,512 Go,Lenovo,Noir,"14""",1920 x 1080
558.0,v1|365156922880|0,320.0,Occasion,8 Go,256 Go,HP,Argenté,"15""",1920 x 1080
559.0,v1|196827764444|0,290.0,Occasion,16 Go,256 Go,Dell,Noir,"15""",1920 x 1080
560.0,v1|285784211452|0,199.9,Occasion,8 Go,512 Go,Lenovo,Noir,"12,5""",1920 x 1080
562.0,v1|135232204946|0,349.0,Très bon état - Reconditionné,16 Go,512 Go,HP,Argenté,"13,3""",1920 x 1080
563.0,v1|387639598240|0,650.0,Ouvert (jamais utilisé),16 Go,512 Go,Acer,Noir,"17,3""",1920 x 1080
564.0,v1|196629526934|0,189.0,Très bon état - Reconditionné,16go,256Go SSD,Dell,Noir,"14""",1366 x 768
565.0,v1|146040700026|0,540.32,Occasion,8 Go,1 TB,Sony,Noir,15.5 in,1920 x 1080
566.0,v1|285668453373|0,369.9,Occasion,16 Go,256 Go,Lenovo,Noir,"15""",1920 x 1080
567.0,v1|167031810757|0,89.0,Occasion,4 Go,,HP,Noir,"17,3""",1600 x 900
568.0,v1|196837568160|0,240.0,Occasion,8 Go,256 Go,Dell,Noir,"15""",1920 x 1080
569.0,v1|335589305295|0,5.99,Neuf,Type Régulier,Type Régulier,- Sans marque/Générique -,Type régulier,Type régulier,Regular
571.0,v1|196827764435|0,300.0,Occasion,16 Go,256 Go,Dell,Noir,"15""",1920 x 1080
572.0,v1|186454433305|0,179.0,Occasion,8 Go,500 Go,HP,Argenté,"15,6""",nn
574.0,v1|196853006924|0,180.0,Occasion,8 Go,256 Go,HP,Gris,"14""",1366 x 768
575.0,v1|176709996735|0,249.0,Occasion,8 Go,512 Go,HP,Gris,"13""",1920 x 1080
576.0,v1|196855142652|0,390.0,Occasion,8 Go,256 Go,HP,Gris,"15""",1920 x 1080
579.0,v1|166987338734|0,2500.0,Neuf,32 Go,2x DDR5 SO-DIMM slots 2x M.2 PCIe,ASUS,Noir,"18,4""",2560 x 1600
580.0,v1|196853006921|0,190.0,Occasion,8 Go,256 Go,HP,Gris,"14""",1366 x 768
581.0,v1|196873216444|0,250.0,Occasion,8 Go,256 Go,Lenovo,Noir,"14""",1920 x 1080
582.0,v1|185889939710|0,120.0,Occasion,4 Go,500 Go,Toshiba,Noir,"17,3""",1600 x 900
583.0,v1|356079148470|0,289.0,Occasion,8 Go,256 Go,Dell,Gris,"14""",1920 x 1080
585.0,v1|395971001725|0,449.9,Occasion,16 Go,1 To,Acer,Noir,"15,6""",1920 x 1080
588.0,v1|196841294349|0,180.0,Occasion,8 Go,256 Go,Fujitsu,Noir,"14""",1366 x 768
589.0,v1|356059112640|0,199.0,Parfait état - Reconditionné,256 Go,256 Go,Dell,Noir,"14""",1366 x 768
590.0,v1|196848867961|0,240.0,Occasion,8 Go,256 Go,Lenovo,Noir,"12""",1366 x 768
591.0,v1|356086420604|0,249.0,Occasion,8 Go,256 Go,HP,Gris,"14""",1920 x 1080
593.0,v1|276552907634|0,339.99,Occasion,16 Go,512 Go,Lenovo,Noir,"14""",1920 x 1080
595.0,v1|196843660533|0,145.0,Occasion,8 Go,128 Go,Fujitsu,Noir,"14""",1366 x 768
596.0,v1|196841294340|0,150.0,Occasion,8 Go,128 Go,Fujitsu,Noir,"14""",1366 x 768
599.0,v1|285613593640|0,399.9,Occasion,32 Go,256 Go,Lenovo,Noir,"15,6""",1366 x 768
600.0,v1|196795489434|0,250.0,Occasion,8 Go,256 Go,Dell,Gris,"13""",1920 x 1080
601.0,v1|285240198775|0,249.9,Occasion,8 Go,256 Go,HP,Argenté,"14""",1366 x 768
602.0,v1|186617445642|0,127.0,Occasion,4 Go,500 Go,HP,Noir,"17,3""",1600 x 900
603.0,v1|355947906642|0,210.0,Occasion,8 Go,256 Go,HP,Multicouleur,"14""",1920 x 1080
604.0,v1|196841294342|0,240.0,Occasion,8 Go,256 Go,Fujitsu,Argenté,"13""",1366 x 768
605.0,v1|285652242444|0,249.9,Occasion,16 Go,256 Go,Dell,Noir,"13,3""",1920 x 1080
606.0,v1|286200710043|0,289.9,Occasion,16 Go,256 Go,HP,Argenté,"13,3""",1920 x 1080
607.0,v1|196817994502|0,220.0,Occasion,8 Go,256 Go,Dell,Noir,"15,6""",1920 x 1080
608.0,v1|196817994498|0,180.0,Occasion,8 Go,256 Go,HP,Gris,"14""",1366 x 768
609.0,v1|326217032182|0,70.0,Occasion,2 Go,250 Go,Apple,Blanc,"13""",1280 x 800
610.0,v1|167094569764|0,43.43,Occasion,4 Go,120 Go,HP,Noir,43.9cm,1600 x 900
611.0,v1|387364708725|0,629.19,Ouvert (jamais utilisé),8 Go,512 Go,Acer,Argent,"17,3 Zoll",1920 x 1080
612.0,v1|196877250027|0,429.0,Très bon état - Reconditionné,32Go,512Go SSD M2,Lenovo,Noir,"14""",1920x1080
613.0,v1|196747836355|0,210.0,Occasion,8 Go,256 Go,Dell,Noir,"14""",1366 x 768
614.0,v1|196877282657|0,319.0,Très bon état - Reconditionné,16Go,512Go SSD,Lenovo,Noir,13.3,1920 * 1080
,v1|235873553946|0,75.0,Occasion,4 Go,64 Go,HP,Blanc,"14,1""",1366 x 768
,v1|196734300513|0,129.0,État correct - Reconditionné,8Go,HD 620,Panasonic,Noir,"12"" LED 2160 * 1440",titre
,v1|167177154601|0,250.0,Neuf,8 Go,0,ASUS,Noir,"12,1""",1366 x 768
,v1|296880777536|0,125.0,Occasion,4 Go,64 Go,ASUS,Noir,"14""",1366 x 768
